job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
Clinical Informatics Nurse - Oncology ONSITE,UCHealth,2026-02-06,"Aurora, CO",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,$34.62 - $51,"DescriptionLocation:UCHealth UCHlth Anschutz Outpt Pavilion, US:CO:AuroraDepartment:Oncology Services AdminWork Schedule:Full Time, 80.00 hours per pay period (2 weeks)Shift:DaysPay:$34.62 - $51.93 / hour. Pay is dependent on applicant's relevant experienceThis position is an onsite role and does not offer a hybrid or remote optionSummary:Performs the analysis, design, and support of clinical information systems, processes, and structures to support the practice of nursing and related clinical disciplines.Responsibilities:Assists with the planning, design, and support of assigned systems.Tests and troubleshoots existing and proposed assigned system(s). Provides guidance to other analysts on the build of the assigned system(s).Provides analysis of the usage and return-on-investment of installed and proposed assigned system(s). Uses the analysis output to recommend scope for projects, optimization, and upgrades for assigned system(s).Provides training, support and troubleshooting to end users. Documents end-user issues, designs solutions for, and recommends steps to prevent recurrences to other analysts.Within scope of job, requires critical thinking skills, decisive judgement and the ability to work with minimal supervision. Must be able to work in a fast-paced environment and take appropriate action.Requirements:Bachelor's Degree in Nursing.State licensure as a Registered Nurse (RN).3 years of clinical nursing with experience working with or supporting information systems.Employees are our number one asset.UCHealth promotes a culture that invests in professional success and personal well-being through a comprehensive total rewards program. _RecognitionPerformance bonus:UCHealth offers a 3-Year Incentive Bonus to recognize employee contributions to our success in quality, patient experience, organizational growth, financial goals and tenure. The bonus accumulates annually each October and is paid out in October during the third year of employment.Performance-based pay increase:The Annual Merit Pay Increase recognizes work performance that meets or consistently exceeds performance standards documented through UCHealth's established evaluation process and accounts for increased experience, skills and cost of living.Market reviews:All UCHealth positions are reviewed annually to ensure UCHealth base pay aligns with market standards. Base pay rates are adjusted as needed to stay market competitive.Health and well-beingMedical, dental and vision coverage.Access to 24/7 mental health and well-being support for employees and dependents.Discounted gym memberships and fitness resources.Free Care.com membership.Voluntary benefits such as accident insurance, critical illness insurance, group legal plan, identity theft protection, pet insurance, auto and home insurance, and employee discount programs.Time away from work: Paid time off (PTO), paid family and medical leave (inclusive of Colorado FAMLI), leaves of absence.New employees receive an initial PTO load with first paycheck.Employer-provided basic life and accidental death and dismemberment coverage with buy-up coverage options.Employer-provided short-term disability and long-term disability with a buy-up coverage option.Retirement and savings403(b) plan with employer matching contribution.Additional 457(b) plan may be available.Flexible spending accounts for health care and dependent day care; health savings account available when enrolled in high-deductible (HD) medical plan.Education and career growthUCHealth provides access to academic degrees and certificate programs to promote professional and personal growth.Up to 100% of tuition, books and fees paid for by UCHealth for specific educational degrees.Other programs may qualify for up to $10,000/year pre-paid by UCHealth or up to $5,250/year in the form of tuition reimbursement.Access to LinkedIn Learning, which offers thousands of virtual courses and seminars, and internal professional development opportunities.Employees have access to free assistance navigating the Public Service Loan Forgiveness program and submitting their federal student loans for forgiveness._Eligibility for some programs is based on an employee's scheduled work hours.We improve lives. In big ways through learning, healing, and discovery. In small, personal ways through human connection. But in all ways, we improve lives.UCHealth always welcomes talent. This position will be open for a minimum of three days and until a top applicant is identified.UCHealth recognizes and appreciates the rich array of talents and perspectives that equal employment and diversity can offer our institution. As an equal opportunity employer, UCHealth is committed to making all employment decisions based on valid requirements. No applicant shall be discriminated against in any terms, conditions or privileges of employment or otherwise be discriminated against because of the individual's race, color, national origin, language, culture, ethnicity, age, religion, s...",https://click.appcast.io/t/w901leUBJYD5VMqnsmm0eqFqW43ecXIypZg08mGgtG0KF5njuRUChibKUE7iAEcl,"Informatics, Oncology & Hematology, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-02-07T09:32:56.009960
DOCUMENTATION QUALITY & APPEAL SPEC,Main Line Health,2026-02-06,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, Pennsylvania","$77,958.4 - $120,806.4 Salary","Could you be our next Documentation Quality and Appeals Specialist? Why work as a Documentation Quality and Appeals Specialist with Main Line Health? **Remote Position** Make an Impact! Are you an experienced CDI reviewer looking to join a premier healthcare provider? If so, come be a part of Main Line Health as a Documentation Quality and Appeals Specialist where you will use your extensive knowledge of clinical documentation requirements and ICD-10 guidelines to perform record review to ensure complete and accurate documentation for continuing care which reflects the appropriate Severity of Illness (SOI) and Risk of Mortality (ROM) as well as any potential Patient Safety Indicators (PSIs). Use your critical skills to understand legal and compliance issues and how they pertain to clinical documentation, and present information to clinical and end users. Develop and Grow Your Career! Invest in furthering your education through seeking certifications or advanced degrees by taking advantage of our Tuition Reimbursement! This position is eligible for up to $6,000 per year based upon your Full or Part Time status. Get Involved! Get involved by attending educational coding sessions and maintaining clinical (RN) CEUs when applicable. Join the Team! Like our patients, the Main Line Health Family encompasses a wide range of backgrounds and abilities. Just as each of our patients requires a personalized care plan, each of our employees, physicians, and volunteers, bring distinctive talents to Main Line Health. Regardless of our unique design, we all share a purpose: providing superior service and care. Position-Specific Benefits include: You are eligible for up to 240 hours of paid time off per year based on your Full or Part Time status. We also offer a number of employee discounts to various activities, services, and vendors... And employee parking is always free! Position: Documentation Quality and Appeals Specialist Shift: Monday - Friday; day shift Expe",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-02-07T09:33:28.423472
EPISODIC CARE MANAGER - MEDICARE ADVANTAGE,Blue Cross and Blue Shield of North Carolina (Blue Cross NC),2026-02-06,Remote,Remote,Full-time,Days,"Must Be Licensed In: Compact, North Carolina","$73,698 - $117,917 Salary","The Episodic Care Manager is responsible for performing clinical reviews to assess, facilitate, and coordinate the delivery of health care services for members based on medical necessity and contractual benefits. Effectively coordinate with providers, members, and internal staff to support the delivery of high quality and cost-effective care across the health care system. What You'll Do Clinical Evaluation and Review * Receive assigned cases for varied member services (i.e. inpatient, outpatient, DME) * Review and evaluate cases for medical necessity against medical policy, benefits and/or care guidelines and regulations. * Complete work in accordance with timeliness, production, clinical quality/accuracy and compliance standards * Provide notifications to member and/or provider, according to regulatory requirements. * Assess appropriateness for secondary case review by the Medical Director (MD) for denials and coordinate as needed. * May coordinate peer-to-peer review upon provider request when members' health conditions do not meet guidelines Collaboration and Documentation * Communicate and collaborate effectively with internal and external clinical/non-clinical staff (including MDs) to coordinate work * Appropriately and fully document outcome of reviews and demonstrate the ability to interpret and analyze clinical information * Utilize detailed clinical knowledge to summarize clinical review against the criteria/guidelines to provide necessary information for MDs What You'll Bring * RN with 3 years of clinical experience or LPN with 5 years of clinical experience * Must have and maintain a valid and applicable clinical license (NC or compact multi-state licensure) to perform described job duties What You'll Get The opportunity to work at the cutting edge of health care delivery with a team that's deeply invested in the community Work-life balance, flexibility, and the autonomy to do great work Medical, dental, and v",https://app.nursefern.com,Case Management (CM),NurseFern,2026-02-07T09:33:30.535717
CASE MANAGER NURSE- RN,Personify Health,2026-02-06,Remote,Remote,Full-time,,"Must Be Licensed In: Compact, California",$36 - $38 Hourly,"As a Case Manager Nurse RN, you will provide telephonic case management between providers, patients and caregivers to help ensure cost-effective, high-quality healthcare for health insurance plan participants. May be required to work evening and/or weekend shifts. Responsibilities Ready to What You'll Actually Do Essential Functions/Responsibilities/Duties Contact patient and complete a thorough assessment, including physical, psychosocial, emotional, spiritual, environmental, and financial needs. Use claims processing tools to review and research paid claim data to develop a clinical picture of a member's health and identify for participation in appropriate programs. Develop treatment plan for standard and catastrophic cases in collaboration with the patient, caregivers or family, community resources and multi-disciplinary healthcare providers that include obtainable short- and long-term goals. Monitor interventions and evaluate the effectiveness of the treatment plan in a timely manner; report measurable outcomes that record effectiveness of interventions. Initiate and maintain contact with the patient/family, provider, employer, and multidisciplinary team as needed throughout the continuum of care. Advocate for the patient by facilitating the delivery of quality patient care, and by assisting in reducing overall costs; provide patient/family with emotional support and guidance. Be able to meet productivity, quality and turnaround time requirements on a daily, weekly and monthly basis. Negotiate and implement cost management strategies to affect quality outcomes and reflect this data in monthly case management reviews and cost avoidance reports. Establish and maintain working relationships with healthcare providers, client/group, and patients to provide emotional support, guidance and information. Evaluate and make referrals for wellness programs. Maintain complete and detailed documentation of case managed patients in Eldorado and UM Web; maintai",https://app.nursefern.com,Case Management (CM),NurseFern,2026-02-07T09:33:36.882035
"CLINICAL TRIAGE NURSE, RN - PRN MULTI STATE LICENSE",HarmonyCares,2026-02-06,Remote,Remote,PRN/Per Diem,,"Must Be Licensed In: Compact, Florida, Georgia, Illinois, New Jersey, New York, Ohio, Michigan, Pennsylvania, Texas, Virginia, Washington, Wisconsin",$33.36 - $40.78 Hourly,"HarmonyCares is a leading national value-based provider of in-home primary care services for people with complex healthcare needs. Headquartered out of Troy, Michigan, HarmonyCares operates home-based primary care practices in 14 states. HarmonyCares employs more than 200+ primary care providers to deliver patient-centered care under an integrated, team-based, physician-driven model. Our Mission - To bring personalized, quality-based healthcare to the home of patients who have difficult accessing care. Our Shared Vision - Every patient deserves access to quality healthcare. Our Values - The way we care is our legacy. Every interaction counts. Go the extra mile. Empower and support each other. Why You Should Want to Work with Us Health, Dental, Vision, Disability & Life Insurance, and much more 401K Retirement Plan (with company match) Tuition, Professional License and Certification Reimbursement Paid Time Off, Holidays and Volunteer Time Paid Great Place to Work Certified Established in 11 states Largest home-based primary care practice in the US for over 28 years, making a huge impact in healthcare today! Responsibilities The Clinical Triage Nurse, RN assists with triage of inbound sick calls from Medical Group patients. The primary responsibility will be to assess patient symptoms, provide appropriate medical advice, determine the level of care required and coordinate care with a care team. The Clinical Triage Nurse, RN also reviews clinical test results, utilizing clinical judgement to summarize results to assist providers in their review process. This position requires strong clinical knowledge, excellent communication skills, and the ability to work remotely, providing critical healthcare guidance to patients in need. Essential Duties and Responsibilities Prioritizes and responds promptly to each inbound phone call and voicemail received Adheres to daily availability expectations based on schedule Demonstrates exceptional customer servic",https://app.nursefern.com,Triage,NurseFern,2026-02-07T09:33:38.975123
UM CLINICAL REVIEWER SENIOR ANALYST,Cigna,2026-02-06,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,$21 - $52 Hourly,"The UM Clinical Reviewer Senior Analyst promotes quality and cost-effective medical services through clinical review, applying Cigna clinical policies, national guidelines, and decision-support tools to determine authorizations. The role ensures timely completion of reviews to meet regulatory and contractual requirements while representing Cigna professionally. Core Responsibilities * Conduct utilization management reviews for medical necessity, appropriateness, and benefit coverage. * Apply Cigna medical policies, MCG, ASAM, URAC standards, and clinical judgment. * Identify cases requiring physician review and coordinate with Medical Directors. * Initiate Case Management referrals as appropriate. * Maintain compliance with HIPAA, regulatory rules, and internal quality standards. * Participate in team meetings, quality audits, training, and workflow improvements. * Support departmental initiatives, documentation accuracy, and performance metrics. Qualifications * Registered Nurse (RN) with multistate license in good standing. * BSN preferred; Minimum 3 years RN experience in managed care, UM, or prior authorization. * Strong analytical, communication, and decision-making skills. * Proficiency with Windows, Word, care management platforms, and documentation systems. * Ability to manage multiple tasks, meet deadlines, and adapt to a fast-paced environment. Competencies * Clinical Judgment & Decision Making * Regulatory & Policy Compliance * Communication & Collaboration * Customer-focused Service Delivery * Time & Workload Management If you will be working at home occasionally or permanently, the internet connection must be obtained through a cable broadband or fiber optic internet service provider with speeds of at least 10Mbps download/5Mbps upload. For this position, we anticipate offering an hourly rate of 31 - 52 USD / hourly, depending on relevant factors, including experience and geographic location. This role is also anticipated to be eligi",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-02-07T09:33:45.262405
COORDINATOR STEMI CHEST PAIN RN,HCA,2026-02-06,Remote,On-site,Full-time,Days,Must Be Licensed In: Missouri,$0 - $0,"Introduction Are you passionate about the patient experience? At HCA Healthcare, we are committed to caring for patients with purpose and integrity. We care like family! Jump-start your career as a(an) RN Coordinator Chest Pain today with Centerpoint Medical Center. Benefits Centerpoint Medical Center offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include: Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation. Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more. Free counseling services and resources for emotional, physical and financial wellbeing 401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service) Employee Stock Purchase Plan with 10% off HCA Healthcare stock Family support through fertility and family building benefits with Progyny and adoption assistance. Referral services for child, elder and pet care, home and auto repair, event planning and more Consumer discounts through Abenity and Consumer Discounts Retirement readiness, rollover assistance services and preferred banking partnerships Education assistance (tuition, student loan, certification support, dependent scholarships) Colleague recognition program Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence) Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income. Learn more about Employ",https://app.nursefern.com,"Data Abstraction, Quality",NurseFern,2026-02-07T09:33:49.470429
CLINICAL AUDITOR RN,UCHealth,2026-02-06,Remote,On-site,Full-time,Days,Must Be Licensed In: Colorado,$38.91 - $60.31 Hourly,"Description Location: UCHealth UCHlth Anschutz Inpt Pavilion, US:CO:Aurora Department: Metro Periop Business Team Work Schedule: Full Time, 80.00 hours per pay period (2 weeks) Shift: Days Pay: $38.91 - $60.31 / hour. Pay is dependent on applicant's relevant experience This position is an onsite role and does not offer a hybrid or remote option Summary: Ensures that correct charges are entered for patient care services, following regulatory billing compliance guidelines. Communicates estimates of charges for services, corrects problems with billing. Responsibilities: Ensures that correct charges are entered for patient care services. Communicates estimates of charges for services, corrects problems with billing. Reviews chart for correctness and completeness in the documentation of biologics and notifies appropriate personnel regarding any necessary corrections (according to Federal guidelines). Coordinates with Finance on perioperative services charges. Ensures charges follow regulatory compliance billing guidelines. Assists in training staff to verify and explain charges. Provides feedback and education to staff. Audits medical records to ensure compliance; notifies appropriate personnel to make any needed corrections in errors that could effect the bill. Researches lost charges and zero unbilled accounts. Researches charges to determine the cause for billing errors. Provides feedback concerning charge errors and complaints. Analyzes errors and makes suggestions for improvement. Acts as a liaison concerning billing charges. Within scope of job, requires critical thinking skills, decisive judgement and the ability to work with minimal supervision. Must be able to work in a fast-paced environment and take appropriate action. Requirements: Registered Nurse Graduate of an accredited or state board of nursing approved Registered/Professional Nursing program if less than 3 years experience. Preferred: Bachelor's degree in Nursing. Required Licensure/Certif",https://app.nursefern.com,"Data Abstraction, Quality",NurseFern,2026-02-07T09:33:53.660283
"RN CLIN DOCUMENTATION COORD, FCH - ENTERPRISE QUALITY CDI/UR/DM",Froedtert Health,2026-01-31,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,$38.92 - $60,"About the jobDiscover. Achieve. Succeed. #BeHereLocation: US:WI:MILWAUKEE at our FROEDTERT HOSPITAL facility.This job is REMOTE.FTE: 1.000000Standard Hours: 40.00Shift: Shift 1Shift Details:Monday - FridayHolidays: NoWeekends: NoJob Summary:Responsible for improving the overall quality and completeness of clinical documentation. Facilitates modifications to clinical documentation through extensive interaction with physicians, nursing staff, other patient caregivers, and medical records coding staff to ensure that compliant documentation is achieved, with resultant appropriate level of severity reflected and reimbursement received for service rendered to all patients with a DRG based payor. Ensures the accuracy and completeness of clinical information used for measuring and reporting physician and hospital outcomes. Assists the Case Management Manager in the day to day responsibilities of overseeing the Documentation Specialists. Includes, but is not limited to, participation in the Documentation Specialist performance appraisal process, supervision of workload assignments, and practice supervision.EXPERIENCE DESCRIPTION:A minimum of 5 years in an acute care setting as an RN is required. Coding experience, i.e. CCS, RHIT background is preferred.EDUCATION DESCRIPTION:Associate degree in Nursing is required. Bachelor's degree in Nursing is preferred.SPECIAL SKILLS DESCRIPTION:Working knowledge of computers.LICENSURE DESCRIPTION:Requires current state of Wisconsin Registered Nurse License or a Multi-state Nursing License from a participating state in the NLC (Nurse Licensure Compact). Advanced certification related to CDI (CCDS, CDIP) is required within 6 months of hire.Compensation, Benefits & Perks At Froedtert HealthPay is expected to be between: (expressed as hourly) $38.92 - $60.33. Final compensation is based on experience and will be discussed with you by the recruiter during the interview process.Froedtert Health Offers a variety of perks & benefits to staff, depending on your role you may be eligible for the following:Paid time offGrowth opportunity- Career Pathways & Career Tuition Assistance, CEU opportunitiesAcademic Partnership with the Medical College of WisconsinReferral bonusesRetirement plan - 403bMedical, Dental, Vision, Life Insurance, Short & Long Term Disability, Free Workplace ClinicsEmployee Assistance Programs, Adoption Assistance, Healthy Contributions, Care@Work, Moving Assistance, Discounts on gym memberships, travel and other work life benefits availableThe Froedtert & the Medical College of Wisconsin regional health network is a partnership between Froedtert Health and the Medical College of Wisconsin supporting a shared mission of patient care, innovation, medical research and education. Our health network operates eastern Wisconsin's only academic medical center and adult Level I Trauma center engaged in thousands of clinical trials and studies. The Froedtert & MCW health network, which includes ten hospitals, nearly 2,000 physicians and more than 45 health centers and clinics draw patients from throughout the Midwest and the nation.We are proud to be an Equal Opportunity Employer who values and maintains an environment that attracts, recruits, engages and retains a diverse workforce. We welcome protected veterans to share their priority consideration status with us at 262-439-1961. We maintain a drug-free workplace and perform pre-employment substance abuse testing. During your application and interview process, if you have a need that requires an accommodation, please contact us at 262-439-1961. We will attempt to fulfill all reasonable accommodation requests.",https://jobs.froedtert.com/job/FROEUS160458EXTERNALENUS/RN-CLIN-DOCUMENTATION-COORD-FCH-ENTERPRISE-QUALITY-CDI-UR-DM,"CDI | Clinical Documentation Integrity Specialist, Coding, Entry Level, Registered Nurse | RN",Remote Nurse Connection,2026-02-07T09:32:56.416783
RN - Remote Pediatric Triage,SSM Health,2026-01-31,,Remote,Regular | Perm Employee,Regular | Perm Employee,"Remote, Training On-Site",,"It's more than a career, it's a callingMO-REMOTEWorker Type:PRNJob Highlights:This position is scheduled Monday - Friday 8:00 am - 4:30 pm.Employee must be available for initial onsite training in the St. Louis, Missouri area.Missouri and Illinois licensure is highly preferred.Job Summary:Provides direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization.Job Responsibilities and Requirements:Primary ResponsibilitiesImplements and monitors patient care plans. Monitors, records and communicates patient condition as appropriate.Serves as a primary coordinator of all disciplines for well-coordinated patient care.Notes and carries out physician and nursing orders.Assesses and coordinates patient's discharge planning needs with members of the healthcare team.May round with physician in an inpatient setting.Applies the existing body of evidence-based practice and scientific knowledge in health care to nursing practice, ensuring that nursing care is delivered based on patient's age-specific needs and clinical needs as described in the department's Scope of Service.As an SSM Health nurse, I will demonstrate the professional nursing standards defined in the professional practice model. Uses the ANA Code of Ethics for Nurses to guide his/her response to the current and evolving health and nursing needs of our patients and our patient populations.Works in a constant state of alertness and safe manner.Performs other duties as assigned.EDUCATIONGraduate of accredited school of nursing or education equivalency for licensingExperienceNo experience requiredPhysical RequirementsConstant use of speech to share information through oral communication.Constant standing and walking.Frequent lifting/carrying and pushing/pulling objects weighing 0-25 lbs.Frequent sitting, reaching and keyboard use/data entry.Frequent use of vision and depth perception for distances near (20 inches or less) and far (20 feet or more) and to identify and distinguish colors.Frequent use of smell to detect/recognize odors.Frequent use of hearing to receive oral communication, distinguish body sounds and/or hear alarms, malfunctioning machinery, etc.Occasional lifting/carrying and pushing/pulling objects weighing 25-50 lbs.Occasional lifting/moving of patients.Occasional bending, stooping, kneeling, squatting, twisting, gripping and repetitive foot/leg and hand/arm movements.Occasional driving.Rare crawling and running.Required Professional License And/Or CertificationsState of Work Location: IllinoisBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Professional Nurse (RN) - Illinois Department of Financial and Professional Regulation (IDFPR)State of Work Location: MissouriBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Nurse (RN) - Missouri Division of Professional RegistrationOrRegistered Nurse (RN) Issued by Compact StateState of Work Location: OklahomaBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Oklahoma Board of Nursing (OBN)State of Work Location: WisconsinBasic Life Support HealthCare Provider (BLS HCP) - American Heart Association (AHA)AndRegistered Nurse (RN) Issued by Compact StateOrRegistered Nurse (RN) - Wisconsin Department of Safety and Professional ServicesWork Shift:Day Shift (United States of America)Job Type:EmployeeDepartment:7081000125 Ronnies PedsScheduled Weekly Hours:0Benefits:SSM Health values our exceptional employees by offering a comprehensive benefits package to fit their needs.Paid Parental Leave: we offer eligible team members one week of paid parental leave for newborns or newly adopted children (pro-rated based on FTE).Flexible Payment Options: our voluntary benefit offered through DailyPay offers eligible hourly team members instant access to their earned, unpaid base pay (fees may apply) before payday.Upfront Tuition Coverage: we provide upfront tuition coverage through FlexPath Funded for eligible team members.Explore All BenefitsSSM Health is an equal opportunity employer. SSM Health does not discriminate on the basis of race, color, religion, national origin, age, disability, sex, sexual orientation, gender identity, pregnancy, veteran status,or any other characteristic protected by applicable law.Click here to learn more.",https://jobs.ssmhealth.com/us/en/job/SHWSHLUSR189118EXTERNALENUS/RN-Remote-Pediatric-Triage,"Entry Level, Pediatrics, Registered Nurse | RN, Triage | Telehealth",Remote Nurse Connection,2026-02-07T09:32:56.604034
