job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
Pediatric Nurse Care Manager,Included Health,2026-01-14,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,"$73,700 - $103,180","We're looking for a Newborn/Pediatric Nurse Care Manager for our Care and Case Management team, who is passionate about caring for members holistically through their healthcare journey and ensuring needs are met with industry-leading interventions. The telephonic Nurse Care Manager will guide members through complex Medical and Behavioral Health situations, partnering with a diverse clinical team that includes a variety of healthcare professionals, care coordinators, and records specialists, to deliver integrated remote care in a creative way. The Nurse Care Manager should enjoy spending time on the phone, listening to members' needs, answering questions, and serving as an advocate. You should also excel at creating cohesive care plans, and should have the clinical skills to guide members clinically and navigate available benefits and resources. Nurse Care Managers will support members through complex care management, disease management, and acute case management, ensuring they receive longitudinal care that results in excellent health outcomes.Schedule: Monday-Friday 9am-6pm PSTResponsibilities:Deliver coordinated, patient-centered virtual Care Management by telephone and video that improves members' health outcomes.Create impactful care plans together with members and our diverse care team, and help members achieve the desired goals.Help members navigate complex medical conditions, treatment pathways, benefits, and the healthcare system in general.Partner with the members' local providers to ensure coordinated care.Provide compassionate, longitudinal follow-up care, building supportive relationships.Assist throughout acute healthcare episodes, such as hospitalizations and rehabilitation stays, providing coordinated Case Management to support the member and their family.Coordinate necessary resources that holistically address members' problems, whether clinical or socialRequired Qualifications:Bachelor of Science in Nursing (BSN).Must have current CCM Certification or eligibility within 6 months of hire5+ years of experience in nursing2+ years experience working in care managementMust reside in a compact NLC state.Active Compact RN license in good standing with the nursing board of their state.Willingness to become (and maintain) licensure in multiple states.Work 9AM-6pm PST (Preference for those based in MST/PST time zones)Be comfortable discussing several medical conditions and experience with populations across the age rangesSpanish speaking desirableExperience working remotely, and strong competence and ability to use multiple computer/medical record systems.Be empathetic. We work with patients and their families who are going through challenging times. You practice empathy and reassure patients that we are available to help them.We are a fast-growing company and we are busy. Our team will meet volume goals without sacrificing quality.Strictly follow security and HIPAA regulations to protect our patients' medical information.Be pleasant, responsive, and willing to work with and learn from our team.A lot of time is spent on the phone with patients and families, and a lot of time communicating with colleagues. Therefore, the ability to gather a clinical history, answer questions at a patient level, and summarize findings is critical.Efficient at writing medical information in easy-to-understand, patient-centric language.The United States new hire base salary target range for this full-time position is:$73,700 - $103,180 + equity + benefitsThis range reflects the minimum and maximum target for new hire salaries for candidates. Below is additional information on Included Health's commitment to maintaining transparent and equitable compensation practices across our distinct geographic zones.Starting base salary for the successful candidate will depend on several job-related factors, unique to each candidate, which may include, but not limited to, education; training; skill set; years and depth of experience; certifications and licensure; business needs; internal peer equity; organizational considerations; and alignment with geographic and market data. Compensation structures and ranges are tailored to each zone's unique market conditions to ensure that all employees receive fair and competitive compensation based on their roles and locations.Your Recruiter can share your geographic zone alignment upon inquiry.In addition to receiving a competitive base salary, the compensation package may include, depending on the role, the following:Remote-first culture401(k) savings plan through FidelityComprehensive medical, vision, and dental coverage through multiple medical plan options (including disability insurance)Full suite of Included Health telemedicine (e.g. behavioral health, urgent care, etc.) and health care navigation products and services offered at no cost for employees and dependentsGenerous Paid Time Off (""PTO"") and Discretionary Time Off (""DTO"")12 weeks of 100% Paid Parental leaveFamily Building Benef...",https://jobs.lever.co/includedhealth/e4019948-5276-400a-845b-f9b86d091221/apply?lever-source=Jobpostingsfeed,"Case Management | Care Management, Entry Level, Pediatrics, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-01-15T09:29:39.988747
Case Manager RN PRN ONSITE,Portsmouth Regional Hospital,2026-01-14,"Portsmouth, NH,",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"DescriptionIntroductionDo you have the career opportunities as a(an) Case Manager RN PRN you want with your current employer? We have an exciting opportunity for you to join Portsmouth Regional Hospital which is part of the nation's leading provider of healthcare services, HCA Healthcare.BenefitsPortsmouth Regional Hospital, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as telemedicine services and free AirMed medical transportation.Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.Fertility and family building benefits through ProgynyFree counseling services and resources for emotional, physical and financial wellbeingFamily support, including adoption assistance, child and elder care resources and consumer discounts401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)Employee Stock Purchase PlanRetirement readiness and rollover services and preferred banking partnershipsEducation assistance (tuition, student loan, certification support, dependent scholarships)Colleague recognition programTime Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)Learn more about Employee BenefitsNote: Eligibility for benefits may vary by location.Our teams are a committed, caring group of colleagues. Do you want to work as a(an) Case Manager RN PRN where your passion for creating positive patient interactions is valued? If you are dedicated to caring for the well-being of others, this could be your next opportunity. We want your knowledge and expertise!Job Summary and QualificationsJob Summary and QualificationsThe Registered Nurse (RN) CM is responsible for promoting patient-centered care by coordinating the plan of care for the patient stay, managing the length of stay, ensuring appropriate resource management, and developing a safe appropriate discharge plan in collaboration with the multidisciplinary team. The RN CM facilitates the progression and transition of care using established criteria and in conjunction with the multidisciplinary team. The RN CM will coordinate activities that promote quality outcomes and patient throughput while supporting a balance of optimal care and appropriate resource utilization.Provides case management services for both inpatient and observation patients as assigned.Identifies patients who are at risk for adverse outcomes during the transition from one level of care/setting to another.Performs a comprehensive assessment of psychosocial, medical and discharge needs of patients/family along with an assessment of resources appropriate and available to the patient/familyReassesses the patient's clinical condition as indicated. Considers patient's readmission status or risk of readmission and develops strategies to mitigate including education on appropriately accessing healthcare resources, preventative education, and community based resources.Coordinates the plan of care and drives the discharge plan by collaborating with the multidisciplinary health care team and in particular with the patient's physician to facilitate a successful care transition. * Partners with Social Services to ensure the post-acute medical needs and level of care are appropriate.Assumes responsibility for timely referral to Social Services when risk factors for psychosocial determinants of health are identified.Involves patient and family/responsible/significant others in identifying and clarifying needs and expectations to develop mutual and realistic goals. * Evaluates progression of care using evidence-based tools and approved criteria (InterQual) throughout the episode of care; escalates progression and transition of care issues through the established chain of command.Makes appropriate referrals to third party payer and disease and case management programs for recurring patients and patients with chronic disease statesFacilitates patient throughput with an ongoing focus on an effective care transition, quality, and efficiency.Documents professional recommendations, discharge plan, care coordination interventions, and case management activities to effectively communicate to all members of the health care team.Aligns patient needs with available resources to ensure a safe discharge/transition. * Acts as a liaison through effective and professional communications between and with physicians, patient/family, hospital staff, and outside agencies. * Actively seeks ways to control costs with...",https://click.appcast.io/t/2FTQe05Ce3Cgktdw8RfQBt6AJqIUdveHxczTRPkDw_ywHA33Op53nZyVq1CC9UgB,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-01-15T09:29:41.986044
"DIVISION DIRECTOR, QUALITY AND SAFETY",BAYADA,2026-01-14,Remote,Remote,Full-time,Days,Must Be Licensed In: New Jersey,"$190,000 - $215,000","Remote role with proximity to Pennsauken, NJ preferred. The Division Director of Quality and Safety is responsible for developing, implementing, and leading the enterprise-wide quality and safety program. This role promotes a culture of safety, accountability, and continuous improvement across all practices and partners with senior leadership and operational teams to drive client-centered care, improve quality outcomes, strengthen compliance with regulatory standards, and enhance the overall client experience. Leveraging expertise in data analytics, Six Sigma methodologies, and performance improvement, this position assists all practices with translating insights into actionable strategies that reduce risk, increase efficiency, and promote excellence in care delivery. Division Director of Quality and Safety Qualifications: Four (4) year college degree. Seven (7) to ten (10) years related experience. Experience with Six Sigma methodologies and quality data analytics. Experience supervising employees at various levels. Ability to develop team members by mentoring and developing staff to advance through career tracks. Ability to work independently, motivate, and be self-motivated, flexible, versatile, and creative. Possess problem-solving ability, leadership skills, and be able to foster interpersonal relationships. Ability to analyze and resolve problems that affect enterprise quality regardless of whether the problem originates in an area under direct or indirect control. Working knowledge of healthcare industry regulatory requirements and business office operations. Must have the ability to effectively present information and respond to questions from groups of employees, managers, directors, and clients. Division Director, Quality and Safety Primary Responsibilities: Design, implement, and oversee the organization's Quality and Safety Program and strategy, ensuring alignment with organizational goals/strategy and regulatory requirements. Champion a culture of s",https://app.nursefern.com,Quality,NurseFern,2026-01-15T09:30:24.658664
(RN) PRIMARY CARE NURSE CLINICIAN I GPG,Medstar Health,2026-01-14,Remote,Remote,Full-time,Days,"Must Be Licensed In: District of Columbia, Compact",$34.98 - $62.52,General Summary of Position Provides professional nursing care for clinic patients following established standards and practices. Primary Duties and Responsibilities Contributes to the achievement of established department goals and objectives and adheres to department policies procedures quality standards and safety standards. Complies with governmental and accreditation regulations. Performs general nursing care to patients. Administers prescribed medications vaccines treatments and procedures in accordance with nursing standards. Prepares equipment and aids physician during treatment examination and testing of patients. Observes records and reports patient's condition and reaction to drugs and treatments to physicians. Dispenses medication as directed. Documentation is complete accurate and legible. Greets patients and prepares them for physician examination. Screens patients for appropriate information. Instructs patients in the collection of samples and tests. Performs patient telephone triage assesses needs and coordinates needs with medical staff. Monitors phone notes entered to assure timely response to all calls and appropriate resolution of the patients' needs. Triages walk-in patients and provides them with guidance determining the most appropriate course of action for the patient to take regarding obtaining an appointment in the clinic referral to another facility or home care advice. Consults with the provider as necessary. Dispenses telephone advice and recommendations from the provider as requested by the provider. Assists in supervising other clinical staff in absence of Nurse Clinician II. Assists in education of clinical and administrative staff to elevate care and service offered by the department. Adapts to and excels in the use of all electronic programs utilized in the division/department to include but not limited to Electronic Health Records (EHR) Azyxxi Outlook and general computer applications. Adheres to all HIPPA MEDSTAR and GUH P,https://app.nursefern.com,Triage,NurseFern,2026-01-15T09:30:26.746973
RN - QUALITY IMPROVEMENT ANALYST REMOTE,Johns Hopkins,2026-01-14,Remote,Remote,Full-time,Days,"Must Be Licensed In: Maryland, Compact",$46.57 - $72.18,"Requisition #:661965 Location:Johns Hopkins Health System, Baltimore, MD 21201 Category:Nursing Schedule:Day Shift Employment Type:Full Time This position is eligible for remote work, if you live in one of the following states: Maryland, Virginia, Delaware, Pennsylvania, Florida, or Washington DC. The Johns Hopkins Health System Corporation (JHHS) is a not-for-profit organization dedicated to providing the highest quality patient health care in the treatment and prevention of human illness. What You Will Do! The Registered Nurse Quality Improvement Analyst reports to the Senior Director for Quality and Performance Improvement in the Department of Quality & Transformation. This role carries out JHHS and JHU ambulatory quality improvement initiatives as set by the Armstrong Institute for Quality and Patient Safety, as well as the Office of Johns Hopkins Physicians. You will conduct quality improvement (QI) activities with central and local site leadership. This position Leads and facilitates performance improvement (PI) teams with local site leadership using the Lean framework. Documents site level quality improvement meetings, assuring goals and action items are on track and measured. Uses quality improvement techniques (workflow diagrams, process maps, and fish bone diagrams) for analysis. Provides sites with adequate data to measure success and determine the best metrics for monitoring. What Awaits You! Medical, Dental, Vision Insurance 403B Savings Plan w/employer contribution Paid Time off & Paid holidays Employee and Dependent Tuition assistance benefits Refer a friend to Johns Hopkins, opportunity to earn $$$ Health & Wellness programs and more! What You Will Bring: Completion of a Bachelor of Science in Nursing from an accredited school of nursing. Current registered nurse (RN) licensure in the State of Maryland or compact state at time of hire Requires a minimum of three years' RN experience. Prefer a minimum of two years related experience in related f",https://app.nursefern.com,Quality,NurseFern,2026-01-15T09:30:28.841949
UM NURSE REVIEWER,Blue Cross Blue Shield of Rhode Island,2026-01-14,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$73,500 - $110,300","$73,500.00 - $110,300.00 Please email HR_Talent_AcquisitionTeam@bcbsri.org if you are a candidate seeking a reasonable accommodation for the application and/or interview process. At BCBSRI, our greatest resource is our people. We come from varying backgrounds, different cultures, and unique experiences. We are hard-working, caring, and creative individuals who collaborate, support one another, and grow together. Passion, empathy, and understanding are at the forefront of everything we do-not just for our members, but for our employees as well. We recognize that to do your best work, you have to be your best self. It's why we offer flexible work arrangements that include remote and hybrid opportunities and paid time off. We provide tuition reimbursement and assist with student-loan repayment. We offer health, dental, and vision insurance as well as programs that support your mental health and well-being. We pay competitively, offer bonuses and investment plans, and are committed to growing and developing our employees. Our culture is one of belonging. We strive to be transparent and accountable. We believe in equipping our associates with the knowledge and resources they need to be successful. No matter where you're at in the organization, you're an integral part of our team and your input, thoughts, and ideas are valued. Join others who value a workplace for all. We appreciate and celebrate everything that makes us unique, from personal characteristics to past experiences. Our different perspectives strengthen us as an organization and help us better serve all Rhode Islanders. We're dedicated to serving Rhode Islanders. Our focus extends beyond providing access to high-quality, affordable, and equitable care. To further improve the health and well-being of our fellow Rhode Islanders, we regularly roll up our sleeves and get to work (literally) in communities all across the state-building homes, working in food pantries, revitalizing community centers,",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-01-15T09:30:30.922902
CALL CENTER NURSE RN,UnitedHealth Group,2026-01-14,Remote,Remote,Full-time,Days,"Must Be Licensed In: Pennsylvania, Compact",$28.94 - $51.83,"Optum is a global organization that delivers care, aided by technology, to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together. You'll enjoy the flexibility to work remotely * from anywhere within the U.S. as you take on some tough challenges. Primary Responsibilities: Provides Nursing support for health service providers via phone in areas including but not necessarily limited to: Telephonic nurse triage services Provide education to patients, deploying best practices and standard workflow in their daily activities Apply their expertise across the various areas of responsibility, understand how their interactions with patients affect customer satisfaction and can make recommendations to improve processes Apply established protocols, criteria, and contract guidelines Coordination of the team approach to management of patient care Analyze, investigate, and resolve individual care quality, coordination of care, service and access issues Contact patients and providers regarding clinical needs for continuity of care You'll be rewarded and recognized for your performance in an environment that will challenge you and give you clear directions on what it takes to succeed in your role as well as provide development for other roles you may be interested in. Required Qualifications: Associate's Degree (or higher) Active and unrestricted RN license in the state of residence RN license in the state of Pennsylvania or a Compact State license 3+ years of related experience in a clinical, managed healthcare, or healthcare s",https://app.nursefern.com,Triage,NurseFern,2026-01-15T09:30:33.003134
LPN TELEPHONIC CARE COORDINATOR 10:30AM - 7PM EST - EVERNORTH - WORK AT HOME,Cigna,2026-01-14,Remote,Remote,Full-time,"Days, Evenings",Must Be Licensed In: State Of Residency,$24 - $37,"Licensed Practical Nurse - Telephonic Care Coordinator - Evernorth * Please note, this is the 10:30 am - 7pm EST shift. The program mission is to improve the health of those with chronic conditions through a holistic, individualized approach which supports improvements in productivity, health status, and appropriate use of medical services. Sound like you? Great! Here's more on how you'll make a difference: Support inbound calls from a dedicated client queue. Assist in the identification of customer health education needs through health assessment activities. Use and apply Preventive Guidelines as well as general health and wellness strategies to set goals to improve overall health of customers. Educate and refer customers on available health resources and Cigna Medical Management programs as appropriate. Provide 1:1 in-the-moment coaching to customers around behavior change opportunities to improve health status, reduce health risks, and improve quality of life. Assess readiness to change, work with customers to establish health improvement plans, and assist customers in setting personalized health goals. Empower customers with skills to provide enhanced interaction with their health care providers. Document interactions and interventions as directed in appropriate systems. Provide approved health and wellness education and send supporting materials. Persuasively explain program benefits. Communicate effectively to engage customers in health coaching programs. Complete eligibility verification with customers and provide service/process explanation. Identify incentive requirements if applicable and communicate options to customer. Ensure exceptional customer service. Use telephone, internet, mail, and internal Cigna resources to achieve optimal service levels for participants/providers. Work in a team environment under guidance of leads and supervisors. Monitor and respond to incoming messages via phone and e mail with adherence to program timef",https://app.nursefern.com,"Case Management (CM), Triage",NurseFern,2026-01-15T09:30:35.088776
PRE-AUTHORIZATION NURSE SUPERVISOR,Humana,2026-01-14,Remote,Remote,Full-time,Days,"Must Be Licensed In: Wisconsin, Compact","$78,400 - $107,800","Ready to make a real impact? As our Pre-Authorization Nursing Supervisor, you'll lead the way in helping members get the care they need, when they need it. You'll oversee the PA staff who process service requests, make important decisions, and work closely with a great team to keep things running smoothly. If you're a nurse who loves collaborating, problem-solving, and making a difference, this is a fantastic opportunity to grow your career in a supportive environment. Come join us and help shape the future of care! Essential Duties and Responsibilities: Provide day to day support to the UM/PA staff Perform monthly 1:1 check in with staff Maintain staff training material and resources Coordinate letter template updates (CMS and DHS requirements) with Compliance, NetDev, and IT to ensure the most current templates are available in TruCare and are used appropriately by PA Staff Intermediate-level support during NCQA re-accreditation, including implementing updated process and policies necessary to meet NCQA standards. Assist with leading bi-weekly department/ team meetings Review PA requests for home health services, durable medical equipment, outpatient therapies, skilled nursing facility therapies, and all outpatient procedures pursuant to applicable Medicare and Medicaid criteria, iCare guidelines, and PA Department policies and procedures. Review PA requests for inpatient medical stays, skilled nursing facility stays, long term acute hospital stays, inpatient rehabilitation facility stays per Humana/iCare's inpatient work processes and participates with facility discharge planners, Care Coordinators/Care Managers and the behavioral health personnel in coordinating the member's discharge needs. Monitors outpatient and behavioral health activities daily for outcomes related to readmission, utilization, quality of care and provider performance in compliance with Humana/iCare policies. Provide complete and accurate documentation specifying rational for approval, or f",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-01-15T09:30:37.171094
CLINICAL UM NURSE,Humana,2026-01-14,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,"$71,100 - $97,800","The Utilization Management Nurse 2 uses clinical knowledge, communication skills, and independent critical thinking skills towards interpreting criteria, policies, and procedures to provide the best and most appropriate treatment, care or services for members. Coordinates and communicates with providers, members, or other parties to facilitate optimal care and treatment. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures. Use your skills to make an impact Required Qualifications Must be a licensed Registered Compact Nurse license (RN) with no disciplinary action and ability to obtain non compact licensure No less than 3 - 5 years of Medical Surgery, Heart, Lung or Critical Care Nursing experience required Prior clinical experience preferably in an acute care, skilled or rehabilitation clinical setting Comprehensive knowledge of Microsoft Word, Outlook and Excel) Ability to work independently under general instructions and within a team Must have the ability to provide a high-speed DSL or cable modem for a home office (Satellite and Wireless Internet service is NOT allowed for this role). A minimum standard speed for optimal performance of 10x1 (10mbs download x 1mbs upload) is required Must be passionate about contributing to an organization focused on continuously improving consumer experiences Must be willing to be in weekend rotation and possible holiday coverage. Preferred Qualifications 3 or more years' experience in a high volume and fast paced environment Previous experience in utilization management Education: BSN or bachelor's degree in a related field Health Plan experience Previous Medicare/Medicaid Experience a plus Call center or triage experience Bilingual is a plus Additional Info",https://app.nursefern.com,Utilization Review & Management (UR/UM),NurseFern,2026-01-15T09:30:39.250197
