job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
Virtual Clinical Educator,Inizio Engage,2026-06-01,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"Inizio Engage has anew and excitingpartnership with a leading biotechnology company, supporting its Commercial, Patient Solutions, and Medical Affairs divisions.We are currently seeking compassionate professionals to provide virtual or telephonic educational and emotional support to patients/caregivers as they navigate their diagnosis and treatment journey.This is your opportunity to join Inizio Engage and represent a top-tier biotechnology company, making a meaningful impactinpatients' lives every day.What'sin it for you?Competitive compensationExcellent Benefits -accruedtime off, medical, dental, vision, 401k, disability & life insurance, paid maternity andpaternity leavebenefits, employee discounts/promotionsEmployee discounts & exclusive promotionsRecognition programs, contests, and company-wide awardsExceptional, collaborative cultureBest Places to Work in BioPharma (2022, 2023, & 2025)Certified Great Place to Work (2022, 2023, 2025)What will you be doing?To provide in-bound or outbound non-promotionaldisease staterelated educational support toidentifiedcustomers as directed by the client companyConducting outbound medication adherencesupport topatients and or caregivers. Hours of operation could extend into evenings and weekends.Collecting demographic data and disposition for reimbursement services and literature fulfillmentTomaintainexcellent quality and superior customer service while adhering to program talking points or call guides andleveragelive video conferencing software on the web/client specific websites as applicableTo only use approved materials provided by Inizio or by the client, without changing,copyingor distributing the materialsTo attend and complete all training courses and related competency assessments that Iniziorequires, toan appropriate standardand within a specifiedtimeframeDevelop and strengthen relationships with key customersTofacilitatethe development and provision of services across multiple healthcare sectors, asdeterminedby the Client or InizioTo constantly consider new and innovative approaches that potentially develop new partnership opportunitiesComplete all required administrative responsibilitiesin a timely manner. Some of these could include but are not limitedto;daily computer updates, weekly summary of activity reports,emailsand time reportingAttend local and national meetings and/or conferences, as required, to keep abreast of plans,activitiesand developments and to exchange knowledge and experience within the Patient Solutions teamMaintain all company equipment and materialsin accordance withcompany instructionsComply withall Inizio Policies and Procedures, along with all Client Policies and Procedures asrequired.Perform other duties as requestedWhat do you need for this position?Current US healthcare professional license: RNAssociates Degree/Bachelors/BSNPreferred minimum of 3 years' experience working in a Neurology, sleep disorderDemonstrate effective and professional communicationExcellent interpersonal skills with pleasant telephone manner and articulate phone voiceCompetency with CallCenterTelephone TechnologyDemonstrable organizational skillsA self-starter with high personal motivationAbility to manage multiple tasksAbout Inizio EngageInizio Engage is a strategic, commercial, and creative engagement partner that specializes in healthcare. Our passionate, global workforce augments localexpertiseand diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions that help clients reimagine how they engage with their patients, payers,peopleand providers to improve treatment outcomes. Our mission is to partner with our clients, improving lives by helping healthcare professionals and patients get the medicines, knowledge and support they need.We believe in our values:We empower everyone/We rise to the challenge/We work as one/We ask what if/We do the right thing, and we will ask you how your personal values align to them.To learn more about Inizio Engage, visit us at:APPLY HERE",https://click.appcast.io/t/Z_Rp01BMtyi_tbIZf_5dZYd7wjwvdS7k5N52eDsHV3TLtAhahwGDKmUCfz9a0knm,"Biotech | Health Tech | Medical Device, Entry Level, Featured, Nurse Educator, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-06-02T12:42:22.781697
"RN/REGISTERED NURSE, TRAUMA INJURY SEVERITY CODER",UW Health,2026-06-01,Remote,Remote,Part-time,,"Must Be Licensed In: Compact, Washington",$45.59 - $84.47 Hourly,"Harborview Medical Center is seeking an experienced Trauma Registered Nurse interested in joining our Trauma Registry Team, specializing in Injury Severity Coding. UNIT DESCRIPTION The trauma registry is a complex database utilized by trauma hospitals to guide process and quality improvement efforts. Important secondary uses of registry data include education and outreach programs, injury prevention initiatives, clinical care research and local and state policy development. The Harborview Trauma Registry Team reviews a wide variety of data points ranging from prehospital and referring provider care, emergency resuscitation and surgical interventions, and inpatient care activities through discharge. DUTIES (not limited to) Identify all the injuries of patients meeting trauma registry inclusion criteria and enter them into the trauma registry software. Assign Abbreviated Injury Scores (AIS) and ICD-9 (or ICD-10) diagnosis codes for each injury and calculating an Injury Severity Score (ISS). Chart review and diagnosis clarification with care providers (when necessary). Identify quality concerns in care or complications, report to appropriate trauma quality improvement channels. Abstraction of data fields may be required as determined by the registry management to meet the needs of state or Harborview Quality Improvement demands. Report Injury Severity Scores (ISS) to appropriate contacts and provider billing. SCHEDULE 100% Remote (out of state OK) 20 hrs./ week Monday-Sunday (primarily weekdays, with occasional non-mandatory, weekend shift) REQUIREMENTS Have/Obtain a Washington State RN Licensure or MSL Graduated from an accredited school of nursing. Three or more years in Trauma/General Surgery, Critical and or Acute care, Emergency care or equivalent education and experience Clinical expertise in the care of trauma patients Strong analytical thinking and problem-solving skills, good verbal and written communication skills. Experience with data",https://app.nursefern.com,Quality,NurseFern,2026-06-02T12:43:02.581093
TRIAGE NURSE,firsthand,2026-06-01,Remote,Remote,Full-time,"Days, 8hr shifts",Must Be Licensed In: Compact,"$80,000 - $80,000 Salary","The Triage Nurse is a remote Registered Nurse who provides telephone and electronic triage support to firsthand individuals and staff, while also supporting outpatient care coordination. This is primarily a day-shift role (8 hours/day, 8:30-4:30 PST), with occasional potential for nights or weekends. When not managing acute issues, Triage Nurses focus on care coordination, training, and related administrative tasks. Responsibilities of a Triage Nurse include: Triage and Escalation: Manage inbound clinical issues from firsthand staff and patients via phone; triage appropriately and escalate emergencies immediately. Collaboration: Work closely with peer mental health workers, social workers, and APPs to address acute issues comprehensively. Coordination: Coordinate care with patients' other providers to ensure seamless health management. Training: Develop and deliver training on basic medical topics for peer mental health workers and social workers. Triage Nurses should have: Strong triage and prioritization skills, with the ability to rapidly assess and determine the appropriate level of care. Problem-solving expertise with a creative, patient-centered approach. Ability to provide condition-specific patient education and self-management guidance. Adaptability to varying team cultures and processes. Empathy, compassion, and approachability in patient and team interactions. Required experience includes: Active RN license through a Nurse Licensure Compact (NLC) state and willingness to obtain licensure in non-compact states. Bachelor of Science in Nursing (BSN) or Associates of Nursing (ASN) At least 3 years of Emergency Room (ER) experience Experience working with populations facing challenges such as serious mental illness, behavioral health conditions, and/or substance use disorders Care management and coordination experience. Bonus Points for: Psychiatric-Mental Health Nursing Certification (PMH-BC) Washington state RN license Base salary range: $80,000 - $80,000",https://app.nursefern.com,Triage,NurseFern,2026-06-02T12:43:08.918818
TELEHEALTH NURSE (LPN/LVN),CopilotIQ+Biofourmis,2026-06-01,Remote,Remote,Full-time,Days,Must Be Licensed In: Compact,$0 - $0 Salary,"We are seeking nurses (LPN/LVN) to provide outstanding care to members with diseases such as hypertension, diabetes, and heart failure through remote patient monitoring. The Telehealth Nurse will support members through regular phone visits during which they will discuss how to make progress towards goals, medical and lifestyle education, and how to improve outcomes on chronic conditions. This position offers full-time hours (Monday through Friday 8:30am-5pm local time), benefits, and the ability to work from home. What you'll be doing: Perform regular telehealth calls to a dedicated panel of members. Accurately and confidently provide medical, diet, and wellness education to members. Ensure accurate and timely documentation. Maintain good member/nurse rapport. Ability to perform high quality, high volume calls. Drive clinical outcomes through member engagement and coordination Escalate members to our Provider team as needed. Provide device support and troubleshooting in a professional, knowledgeable manner. Provide support and encouragement as indicated. Maintain a good rapport with members, nursing team, and providers. As a member of our team, foster and grow a culture of kindness, compassion, and mutual respect. Assist with special projects and other assignments as needed. What you'll bring: Must have a current, active, unrestricted LPN/RN multi-state compact license in a nursing compact state and be in good standing with the Board of Registered Nurses. A minimum of 2 years hands on nursing experience is required; telehealth and chronic care management experience is strongly preferred. EHR experience, specifically AthenaHealth, is a plus. Fluency in English and Spanish is highly preferred. Comfortable working on a computer; experience navigating through multiple computer applications while on calls; Macbook experience is a plus. Must have reliable high-speed internet. Strong time management skills and self-motivation. Must be a quick learner in a fast",https://app.nursefern.com,"Case Management (CM), Telehealth",NurseFern,2026-06-02T12:43:13.115698
"REGISTERED NURSE, REMOTE, TRIAGE, EMERGENCY, ER TELEHEALTH",ChenMed,2026-06-01,Remote,Remote,Full-time,"Days, Evenings, Weekends",Must Be Licensed In: Compact,"$64,583 - $92,262 Salary","We're changing lives every day. For both our patients and our team members. Are you innovative and entrepreneurial minded? Is your work ethic and ambition off the charts? Do you inspire others with your kindness and joy? We're different than most primary care providers. We're rapidly expanding and we need great people to join our team. The Registered Nurse, Telehealth is responsible for providing telephonic triage directional patient care advice for general and specific illnesses, health related issues, client counseling, patient advocacy, health education and referral and resource management to ChenMed patients and their families. The incumbent in this role provides remote clinical advice and assessments within license and as possible given the technology and medium. He/She collaborates with primary caregivers and others on the interdisciplinary care plan team to provide a team approach of care. The schedule for this position is as follows: Thursdays 1630-0430 Fridays 1700-2100 Saturdays 0800-2000 Sundays 0830-2030 ESSENTIAL JOB DUTIES/RESPONSIBILITIES: Connects with patients via phone or video call. Interviews and questions patients to collect health history and uses a computer system to record and store comprehensive and focused data relating to the health needs of patients and families. Provides health assessment and treatment solutions, monitors patient health and at-home care, aids in emergency scenarios and promotes patient wellness. Based on the technology available, monitors a patient's oxygen levels, heart rate, respiration, blood glucose and other assessment measures. With the help of video chatting, identifies patient's symptoms and conditions. Analyzes data to determine the appropriate health maintenance and identify appropriate outcome for the patient and family. Collaborates with on-call PCP as needed to support expected clinical outcomes. Implements the appropriate protocol to attain the expected outcome. Evaluates and documents progress toward",https://app.nursefern.com,Triage,NurseFern,2026-06-02T12:43:19.411503
PART TIME CLINICAL NURSING INSTRUCTOR,,2026-06-01,Remote,On-site,Contract,Days,Must Be Licensed In: New Mexico,$0 - $0,"Company Description About Chamberlain University Chamberlain University has a 130-year history and the mission to educate, empower, and embolden diverse healthcare professionals who advance the health of people, families, communities, and nations. Our regionally accredited University is comprised of the College of Nursing and the College of Health Professions. Our College of Nursing offers a Bachelor of Science in Nursing (BSN) degree program at 23 locations and online post-licensure degree programs and certificates including RN to BSN, RN to MSN, a Master of Science in Nursing (MSN) with six Specialty Tracks, and a Doctor of Nursing Practice (DNP). Our College of Health Professions offers online options with a Master of Public Health degree, Master of Physician Assistant Studies, Public Health Certificate programs, and a Master of Social Work degree. Learn more about Chamberlain University, part of Covista, at www.chamberlain.edu. There is one very significant way Chamberlain is different than other Universities - Chamberlain Care. Healthcare education is offered in a culture of service excellence and care in four ways: care for self, care for colleagues, care for patients/clients, care for all. By living Chamberlain Care, we've built a culture in which colleagues and students thrive and we graduate extraordinary healthcare professionals who transform the health of people worldwide. Chamberlain Care is the guiding principle we provide to each other and to our students to help our students achieve their goals, reach their dreams and impact healthcare at a national level. If you're ready to live Chamberlain Care, we invite you to apply today! Job Description Chamberlain College of Nursing seeks Part-Time Clinical Nursing Faculty interested in teaching with our BSN Nursing program. You will be mentoring students in person at an inpatient clinical setting located in/around the Alamogordo, NM area. You'll be making connections between what our students are le",https://app.nursefern.com,Education,NurseFern,2026-06-02T12:43:21.532347
Claims Clinical Specialist - Medical Review Team,Genworth,2026-05-30,,Hybrid,Regular | Perm Employee,Regular | Perm Employee,"Hybrid, Remote",,"At Genworth, we empower families to navigate the aging journey with confidence. We are compassionate, experienced allies for those navigating care with guidance, products, and services that meet families where they are. Further, we are the spouses, children, siblings, friends, and neighbors of those that need care-and we bring those experiences with us to work in serving our millions of policyholders each day.We apply that same compassion and empathy as we work with each other and our local communities, Genworth values all perspectives, characteristics, and experiences so that employees can bring their full, authentic selves to work to help each other and our company succeed. We celebrate our diversity and understand that being intentional about inclusion is the only way to create a sense of belonging for all associates. We also invest in the vitality of our local communities through grants from the Genworth Foundation, event sponsorships, and employee volunteerism.Our four values guide our strategy, our decisions, and our interactions:Make it human.We care about the people that make up our customers, colleagues, and communities.Make it about others.We do what's best for our customers and collaborate to drive progress.Make it happen.We work with intention toward a common purpose and forge ways forward together.Make it better.We create fulfilling purpose-driven careers by learning from the world and each other.POSITION TITLEClaims Clinical Specialist - Medical Review TeamPOSITION LOCATIONThis position is available to Virginia residents as Richmond or Lynchburg, VA Hybrid in-office applicants or remote applicants residing in states/locations under Eastern or Central Standard Time: Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Virginia, Washington DC, Vermont, West Virginia or Wisconsin.YOUR ROLEAs an Operations team member, you will play a crucial role in delivering world class customer service and capabilities to our policyholders - now and in the future.The Clinical Specialist is an excellent opportunity for a Registered Nurse or Licensed Social Worker. Bring your clinical knowledge and experience, and Genworth will provide the training necessary to succeed in this role. You will be responsible for improving our in-house certification functions by providing updates to the plan of care, in-house certifications, completing telephonic assessments, and monitoring claimants with multiple health conditions. This position will promote the provision of evidence-based, short-term case management services to long-term care insurance policyholders.What You Will Be DoingYou will identify process improvement opportunities, provide feedback on processes and case management model as well as be a critical team member in enhancing the team's performance and results.You will be responsible for communicating with medical personnel at Long Term Care Facilities by conducting telephonic assessments for claimants to develop the plan of care and provide tax qualified certifications as required by the policy.You will be responsible for obtaining information about the medical status and care needs of the insured to best understand disease progression, ADL/IADL loss and cognitive status.You will be responsible for making decisions about the care need expectations and benefit eligibility of the insured as it aligns with specific policy requirements and the HIPAA regulations related to Tax Qualification Certification.You will be responsible for identifying, requesting, and analyzing pertinent medical records required to best understand the disease progression, ADL/IADL loss and potential for recovery.You will be responsible for working within a structured environment with established Standard Operating Procedures to ensure consistency of claims practices.You will identify process improvement opportunities, provide feedback on processes and case management model as well as be a critical team member in enhancing the team's performance and results.You will be responsible for communication, teamwork and collaboration, and partnering with other teams or departments to achieve common goals and support continuous improvement initiatives.What You BringActive Licensed Social Worker or Registered NurseAt least two years-experience working in a role that required an understanding of single and cumulative medical conditions (particularly those common in the aging process), including their effect on physical/cognitive function, as well as their prognosis and rehabilitative potential.Able to understand and interpret MDS, Plan of Care, Physician Records andOccupational/PhysicalTherapist records and understand disease progression and recovery e...",https://click.appcast.io/t/cg-zdBG5UbuqdtAv9bpcDPeOur9zeKF8tM5Zt-ic942s3_Q3-WCKZQtuyzceGBPq,"Auditing, Entry Level, Long Term Care, MDS | Minimum Data Set, Registered Nurse | RN, Sponsored",Remote Nurse Connection,2026-06-02T12:42:22.886971
"Nurse Practitioner, Cleveland, OH- Hybrid Remote",DaVita Kidney Care,2026-05-27,,Hybrid,Regular | Perm Employee,Regular | Perm Employee,Hybrid,"$118,000.00 - $150,000","Posting Date05/26/20267901 Detroit Ave, Cleveland, Ohio, 44102, United States of AmericaAre you a Nurse Practitioner ready totransform livesand make a real difference for patients with complex kidney conditions? DaVita IKC is looking for a passionate NP to join our team inCleveland, OH, helping patients navigate a challenging healthcare system while receivingholistic, integrated care.Position DetailsLocation: Occasional work from home (telehealth) with travel across an assigned geographic area, including dialysis clinics and nephrology practices. Travel expectations may vary based on business needs and patient population.Clinical Care & Evaluation: The primary responsibility is completing Comprehensive Health Evaluations (CHEs) to assess and manage comorbid conditions while addressing medical, social, emotional, and financial needs. Reduce hospitalizations and improve patient outcomes.Care Management & Disease Progression: Manage CKD and ESKD patients, focusing on slowing disease progression, reducing costs, and preventing readmissions. Utilize prescriptive authority, medication management, and diagnostic interpretation in collaboration with nephrologists and interdisciplinary teams.Clinical Leadership: Lead the clinical team to ensure care coordination aligns with medical treatment plans and addresses both medical and psychosocial needs.Schedule & Benefits: Monday-Friday, full-time, self-managed schedule with the ability to accommodate patient and nephrology partner availability-flexibility is key. No nights, weekends, or on-call. Competitive pay, excellent benefits, CEU/CME reimbursement, paid license renewals, and more.RequirementsPassion for caring for patients with complex, chronic illnessesWillingness to adapt as the program evolvesMinimum 2 years' experience as a Nurse Practitioner (NP)Current, unrestricted NP license in state of practice; DEA license or eligibility within 90 daysCurrent CPR/BLS certificationValid driver's license and insurance in the stateIntermediate computer skills (MS Word, Excel, Outlook)Strong clinical judgment, autonomous decision-making, and expertise in managing complex comorbiditiesPositive, solution-focused attitude, committed to improving patient and team outcomesHome office, high-speed internet, and reliable transportationPreferred QualificationsExperience in Value-Based Care or Population Health, including Medicare Advantage documentation and Health Risk Assessments5+ years' experience as a Family NP, Primary Care NP, or in Internal Medicine, Cardiology, Nephrology, or Endocrinology.Experience managing population health with a focus on reducing hospitalizationsPrior experience with Cerner or similar EHR systemsWhy You'll Love Working HereMake a direct impact on the lives of patients with kidney diseaseAutonomy to lead and innovate in patient careBe part of a mission-driven, collaborative teamWhat We'll ProvideMore than just pay, our DaVita Rewards package connects teammates to what matters most. Teammates are eligible to begin receiving benefits on the first day of the month following or coinciding with one month of continuous employment. Below are some of our benefit offerings.Comprehensive benefits: Medical, dental, vision, 401(k) match, paid time off, PTO cash outSupport for you and your family: Family resources, EAP counseling sessions, access Headspace, backup child and elder care, maternity/paternity leave and moreProfessional development programs: DaVita offers a variety of programs to help strong performers grow within their career and also offers on-demand virtual leadership and development courses through DaVita's online training platform StarLearning.At DaVita, we strive to be a community first and a company second. We want all teammates to experience DaVita as ""a place where I belong."" Our goal is to embed belonging into everything we do in our Village, so that it becomes part of who we are. We are proud to be an equal opportunity workplace and comply with state and federal affirmative action requirements. Individuals are recruited, hired, assigned and promoted without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, protected veteran status, or any other protected characteristic.This position will be open for a minimum of three days.The Salary Range for the role is $118,000.00 - $150,000.00/year.For location-specific minimum wage details, see the following link: DaVita.jobs/WageRatesCompensation for the role will depend on a number of factors, including a candidate's qualifications, skills, competencies and experience. DaVita offers a competitive total rewards package, which includes a 401k match, healthcare coverage and a broad range of other benefits. Learn more at https://careers.davita.com/benefitsColorado Residents: Please do not respond to any questions in this initial application that may seek age-identifying information such as age, date of birth, or dates of school attendance or graduatio...",https://careers.davita.com/job/DAVIUSR0460687WORKDAY/Nurse-Practitioner-Cleveland-OH-Hybrid-Remote,Regular | Perm Employee,Remote Nurse Connection,2026-06-02T12:42:23.262357
RN Appeals Analyst (W@H TN),BlueCross BlueShield of South Carolina,2026-05-27,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"SummaryWe are currently hiring for a RN Appeals Analyst to join BlueCross BlueShield of South Carolina. In this role as a RN Appeals Analyst, you will research the substance of complex appeal or retrospective review requests including pre-pay and post-payment review appeal requests. Provides thorough clinical review or benefit analysis to determine if the requested services meet medical necessity guidelines. Documents decisions within mandated timeframes and in compliance with applicable regulations or standards.DescriptionLogistics:discretion.Required Software and Tools:MicrosoftOffice.Required License and Certificate:An active, unrestricted RN license from the United States and in the state of hire, OR, active compact multistate unrestricted RN license as defined by the Nurse Licensure Compact (NLC).We Prefer That You Have the Following:Preferred Education:Bachelor's degree- Nursing.Preferred Work Experience:3years-utilization/medicalreview, quality assurance, or home health, plus 5 years clinical.Preferred Skills and Abilities:Administrative Law Judge (ALJ) process.Knowledge of statistical principles.Knowledge of the National Committee for Quality Assurance (NCAG).Knowledge of Utilization Review Accreditation Commission (URAC).Knowledge of South Carolina Department of Insurance (SCDOI).Knowledge of US DOL and Health InsurancePortability/AccountabilityAct (HIPAA)standards/regulations.Excellent organizational and time management skills. Knowledge of claims systems. Presentation skills.Preferred Software and Other Tools:Excel or other spreadsheet software. Ability to effectively use Microsoft Office applications, such as Word, Power point and Excel.Our Comprehensive Benefits Package Includes the Following:We offer our employees great benefits and rewards. You will be eligible to participate in the benefits the first of the month following 28 days of employment.Subsidized health plans, dental and vision coverage401k retirement savings plan with company matchLife InsurancePaid Time Off (PTO)On-site cafeterias and fitness centers in major locationsEducation AssistanceService RecognitionNational discounts to movies, theaters, zoos, theme parks and moreEqual Employment Opportunity StatementBlueCross BlueShield of South Carolina and our subsidiary companies maintain a continuing policy of nondiscrimination in employment to promote employment opportunities for persons regardless of age, race, color, national origin, sex, religion, veteran status, disability, weight, sexual orientation, gender identity, genetic information or any other legally protected status. Additionally, as a federal contractor, the company maintains affirmative action programs to promote employment opportunities for individuals withdisabilities andprotected veterans. It is our policy to provide equal opportunities in all phases of the employment process and to comply with applicable federal, state and local laws and regulations.We are committed to working with and providing reasonable accommodations to individuals with disabilities, pregnant individuals, individuals with pregnancy-related conditions, and individuals needing accommodations for sincerely held religious beliefs, provided that those accommodations do not impose an undue hardship on the Company.If you need special assistance or an accommodation while seeking employment, please email[email protected]or call 800-288-2227, ext. 47480 with the nature of your request. We will make a determination regarding your request for reasonable accommodation on a case-by-case basis.We participate in E-Verify and comply with the Pay Transparency Nondiscrimination Provision. We are an Equal Opportunity Employer. Here'smore information"" target=""_blank"" rel=""noopener noreferrer"">more information.",https://ourhrconnect.wd501.myworkdayjobs.com/SCBlues/job/WH-Tennessee/Job-Posting-Title-RN-Appeals-Analyst--W-H-TN-_R1049244,"Appeals | Denials, Entry Level, Registered Nurse | RN, Utilization Management | Utilization Review",Remote Nurse Connection,2026-06-02T12:42:23.376062
Clinical Analyst Appeals (Remote),Beth Israel Lahey Health,2026-05-27,,Remote,Regular | Perm Employee,Regular | Perm Employee,Remote,,"When you join the growing BILH team, you're not just taking a job, you're making a difference in people's lives.Reporting to the Manager, Patient Financial Services, the Clinical Analyst plays an important role in a high-profile team tasked with handling all commercial and government clinical appeals and audit processes. The Clinical Analyst will perform high-level clinical appeal for services in the inpatient and outpatient hospital setting, to ensure that Beth Israel Lahey Health (BILH) is in compliance with all applicable federal and state laws and regulations as they pertain to coding, billing, and documentation.To educate, give support, and provide guidance to all BILH providers about compliance, billing, coding, and documentation requirements. To perform and monitor Third Party Payer audits by obtaining information relative to all claims audited with regards to policies, departmental practices/processes, and procedures; to gather information that would support submitted charges. Prepare clinical appeals relevant to the audits in order to prove medical necessity and level of care were warranted in these cases.Strong preference for: Facility Side Coding Denial experience and Coding Certification, along with experience with EpicJob Description:Essential Duties & Responsibilitiesincluding but not limited to:* Maintain a system of reporting that provides timely and relevant information on all aspects of clinical appeals, audits, and compliance issues to management.* Participates in complex projects related to denial initiatives. Provides support for projects in which senior managers are involved.* Assist in the tracking and review of payer audit and denial results. Prepare appeal requests as appropriate.* Responsible for appealing and defending claims denials, adverse audit results, and sanctions.* Analysis, tracking, and trend of daily, weekly, and monthly denials by payer using denial reporting tools. Maintain a system of reporting that provides timely and relevant information on all aspects of clinical appeals, audits, and compliance issues to Revenue Cycle Leadership.* Perform process review of denials by hospital departments, and provide clinical improvement initiatives.* Draft, revise, and enforce BILH policies and procedures as they apply to appeal and audit functions.* Conduct regular audits to ensure that BILH is coding, billing, and documenting completely and accurately and is in compliance with all applicable federal and state laws and regulations.* Analyzes work queues and other system reports identifies denial/non-payment trends, and reports and provides recommendations to the Revenue Cycle Leadership.* Perform sensitive and complex investigations into allegations of billing fraud or abuse, as necessary.* Appeal and defend claims denials, adverse audit results, and sanctions.* Proactively identifies problems or opportunities for improvements related to clinical orders and/or clinical documentation and makes recommendations to management and/or the perspective departments with high volume/high dollar values.* Representation at scheduled meetings with assigned payers and provider representatives to address all outstanding claims processing issues. Maintain an ongoing issues tracker for each payer in order to communicate and trend all issues and communicate with contracting any and all contracting-related problems.* Communicate appeal results to the Manager, Director of Patient Accounts, and VP of Revenue Cycle.* Assist in the development of coding, billing, and documentation training and educational materials and perform the training throughout BILH, as necessary.* Assist with review of HCAC/PCC charge identification.Organizational Requirements:* Maintain strict adherence to the Beth Israel Lahey Health Confidentiality policy.* Incorporate Beth Israel Lahey Health Standards of Behavior and Guiding Principles into daily activities.* Comply with all Beth Israel Lahey Health Policies.* Comply with the behavioral expectations of the department and Beth Israel Lahey Health.* Maintain courteous and effective interactions with colleagues and patients.* Demonstrate an understanding of the job description, performance expectations, and competency assessment.* Demonstrate a commitment toward meeting and exceeding the needs of our customers and consistently adhere to Customer Service standards.* Participate in departmental and/or interdepartmental quality improvement activities.* Participate in and successfully complete Mandatory Education.* Perform all other duties as needed or directed to meet the needs of the department.MinimumQualifications:Education:* Associate degree preferably in the business, healthcare, or finance field* In the absence of an Associate's Degree, an additional 4 years of healthcare revenue cycle experience are required.Licensure, Certification & Registration:Applicable clinical or professionalcertifications/licensessuch as RN, LPN, CPC, RT, MT, and RPH are highly desirable.Experienc...",https://bilh.wd1.myworkdayjobs.com/External/job/Beth-Israel-Lahey-Health/Clinical-Analyst-Appeals--Remote-_JR93509-1,"Appeals | Denials, Coding, Licensed Practical Nurse | LPN | LVN, Registered Nurse | RN",Remote Nurse Connection,2026-06-02T12:42:23.477175
