job_title,company,date_posted,location,remote_status,employment_type,schedule,license_requirements,salary_range,job_description,apply_link,specialties,source_site,scraped_at
TELEPHONIC NURSE CASE MANAGER II,Elevance Health,2026-01-02,Remote,Remote,Full-time,Days,Must Be Licensed In: State Of Residency,"$76,944 - $126,408","Telephonic Nurse Case Manager II Sign on Bonus: $2000. Location: Virtual: This role enables associates to work virtually full-time, with the exception of required in-person training sessions, providing maximum flexibility and autonomy. This approach promotes productivity, supports work-life integration, and ensures essential face-to-face onboarding and skill development. Preferred locations: Seattle, WA, Denver, CO, Las Vegas, NV or Woodland Hills, CA or Costa Mesa, CA. Alternate locations may be considered if candidates reside within a commuting distance from an office. Please note that per our policy on hybrid/virtual work, candidates not within a reasonable commuting distance from the posting location(s) will not be considered for employment, unless an accommodation is granted as required by law. Hours: Monday - Friday 9:00am to 5:30pm with 1-2 late evenings 11:30am to 8:00pm depending on your time zone. *****This position will service members in different states; therefore, Multi-State Licensure will be required. The Telephonic Nurse Case Manager II is responsible for care management within the scope of licensure for members with complex and chronic care needs by assessing, developing, implementing, coordinating, monitoring, and evaluating care plans designed to optimize member health care across the care continuum. Performs duties telephonically. How you will make an impact: Ensures member access to services appropriate to their health needs. Conducts assessments to identify individual needs and a specific care management plan to address objectives and goals as identified during assessment. Implements care plan by facilitating authorizations/referrals as appropriate within benefits structure or through extra-contractual arrangements. Coordinates internal and external resources to meet identified needs. Monitors and evaluates effectiveness of the care management plan and modifies as necessary. Interfaces with Medical Directors and Physician Advis",https://app.nursefern.com,Case Management (CM),NurseFern,2026-01-03T09:22:25.478369
CLINICAL DOCUMENTATION SPECIALIST,University of Arkansas,2026-01-02,Remote,Remote,Full-time,Days,Must Be Licensed In: Arkansas,$0 - $0,"The University of Arkansas for Medical Sciences (UAMS) has a unique combination of education, research, and clinical programs that encourages and supports teamwork and diversity. We champion being a collaborative health care organization, focused on improving patient care and the lives of Arkansans. UAMS offers amazing benefits and perks (available for benefits eligible positions only): Health: Medical, Dental and Vision plans available for qualifying staff and family Holiday, Vacation and Sick Leave Education discount for staff and dependents (undergraduate only) Retirement: Up to 10% matched contribution from UAMS Basic Life Insurance up to $50,000 Career Training and Educational Opportunities Merchant Discounts Concierge prescription delivery on the main campus when using UAMS pharmacy Below you will find the details for the position including any supplementary documentation and questions you should review before applying for the opening. To apply for the position, please click the Apply link/button. The University of Arkansas is an equal opportunity institution. The University does not discriminate in its education programs or activities (including in admission and employment) on the basis of any category or status protected by law, including age, race, color, national origin, disability, religion, protected veteran status, military service, genetic information, sex, sexual orientation, or pregnancy. Questions or concerns about the application of Title IX, which prohibits discrimination on the basis of sex, may be sent to the University's Title IX Coordinator and to the U.S. Department of Education Office for Civil Rights. Persons must have proof of legal authority to work in the United States on the first day of employment. All application information is subject to public disclosure under the Arkansas Freedom of Information Act. For general application assistance or if you have questions about a job posting, please contact Human Resources at askrecru",https://app.nursefern.com,Clinical Documentation Integrity (CDI),NurseFern,2026-01-03T09:22:27.571961
CLINICAL REVIEW NURSE-PRIOR AUTHORIZATION,Centene,2026-01-02,Remote,Remote,Full-time,Days,"Must Be Licensed In: Florida, Georgia, Indiana, Kansas, Kentucky, Nebraska, New Jersey, North Dakota, Maryland, Pennsylvania, Tennessee, Texas",$27.02 - $48.55,"You could be the one who changes everything for our 28 million members as a clinical professional on our Medical Management/Health Services team. Centene is a diversified, national organization offering competitive benefits including a fresh perspective on workplace flexibility. Centene is hiring a Remote Clinical Review Nurse - Prior Authorization to support our Duals team. The ideal candidate will have experience reviewing outpatient services, with a background in one or more of the following areas: Imaging services Durable Medical Equipment (DME) Home Health Care Elective inpatient services This role is responsible for conducting clinical reviews for prior authorization requests in accordance with medical necessity guidelines, regulatory requirements, and company policies. This is a remote position with standard business hours, Monday through Friday, 8:00 AM-5:00 PM, (EST or CST) with potential for weekend, holiday, and on-call coverage. Position Purpose: Analyzes all prior authorization requests to determine medical necessity of service and appropriate level of care in accordance with national standards, contractual requirements, and a member's benefit coverage. Provides recommendations to the appropriate medical team to promote quality and cost effectiveness of medical care. Performs medical necessity and clinical reviews of authorization requests to determine medical appropriateness of care in accordance with regulatory guidelines and criteria Works with healthcare providers and authorization team to ensure timely review of services and/or requests to ensure members receive authorized care Coordinates as appropriate with healthcare providers and interdepartmental teams, to assess medical necessity of care of member Escalates prior authorization requests to Medical Directors as appropriate to determine appropriateness of care Assists with service authorization requests for a member's transfer or discharge plans to ensure a timely discharge between",https://app.nursefern.com,"Utilization Review & Management (UR/UM), Prior Authorization (PA)",NurseFern,2026-01-03T09:22:29.664788
APPEALS NURSE CONSULTANT (REMOTE),CVS Health,2026-01-02,Remote,Remote,Full-time,Days,Must Be Licensed In: Ohio,"$54,095 - $116,760","CVS Aetna is seeking a dedicated Appeals Nurse Consultant to join our remote team. In this role, you will be responsible for processing the medical necessity of Medicare appeals for participating providers. Key Responsibilities Requesting clinical, research, extrapolating pertinent clinical, applying appropriate Medicare Guidelines, navigate through multiple computer system applications in a fast-paced department. Must work independently as well as in a team environment while working remotely. Fast paced sedentary position, talking on the telephone, looking at computer screens, utilizing templates in Word, and typing on the computer. Responsible for the review and resolution of clinical appeals. Reviews documentation and interprets data obtained from clinical records to apply appropriate clinical criteria and policies in line with regulatory and accreditation requirements for provider issues. This is a full-time telework position with standard hours of Monday-Friday, 8:00 AM to 5:00 PM (local time). No weekends or holidays required. Remote Work Expectations This is a 100% remote role; candidates must have a dedicated workspace free of interruptions. Dependents must have separate care arrangements during work hours, as continuous care responsibilities during shift times are not permitted. Required Qualifications Must have active and unrestricted RN licensure in state of residence. 3+ years clinical experience. Preferred Qualifications Appeals, Managed Care, or Utilization Review experience. Pre Certification or Pre Authorization experience Proficiency with computer skills including navigating multiple systems. Exceptional communication skills. Time efficient, highly organized, and ability to multitask. Education Associates Degree minimum OR Diploma RN required. Bachelors Degree preferred. Anticipated Weekly Hours 40 Time Type Full time Pay Range The typical pay range for this role is: $54,095.00 - $116,760.00 This pay range represents t",https://app.nursefern.com,Denials & Appeals,NurseFern,2026-01-03T09:22:31.801653
RN TELEPHONE ADVICE,UCHealth,2026-01-02,Remote,On-site,PRN/Per Diem,,Must Be Licensed In: Colorado,$35.29 - $54.71,"Description Location: UCHealth Fam Med Ctr - Ft Collins, CO Department: PVH FMC Freestanding FTE: PRN, 0.0, 0.00 hours per pay period (2 weeks) Shift: Days Pay: $35.29 - $54.71 / hour. Pay is dependent on applicant's relevant experience This position is an onsite role and does not offer a hybrid or remote option Requirements: Graduate of an accredited or state board of nursing approved Registered/Professional Nursing program. State licensure as a Registered Nurse (RN). 2 years of nursing experience. BLS through the American Heart Association or the American Red Cross CPR for the Professional Rescuer with card in-hand before start date. BLS or CPR card must be good through sixty days of hire. At UCHealth, We Improve Lives Picture yourself on a dynamic team improving lives in the following way(s): Provides top of scope practice in direct patient care Values a multidisciplinary team approach to achieve exceptional outcomes Prioritizes wellness, a patient perspective and evidence-based practice Models proficiency through precepting those new to healthcare and/or UCHealth Welcomes new knowledge in a fast paced, innovative clinical environment Contributes to secure safety and quality at the point of care We improve lives. In big ways through learning, healing, and discovery. In small, personal ways through human connection. But in all ways, we improve lives. UCHealth invests in its Workforce. UCHealth offers a Three Year Incentive Bonus to recognize employee's contributions to our success in quality, patient experience, organizational growth, financial goals, and tenure with UCHealth. The bonus accumulates annually each October and is paid out in October following completion of three years' employment. UCHealth offers their employees a competitive and comprehensive total rewards package (benefit eligibility is based off of FTE status): Medical, dental and vision coverage including coverage for eligible dependents 403(b) with employer matching contribu",https://app.nursefern.com,Triage,NurseFern,2026-01-03T09:22:33.919325
"RN CARE COORDINATOR (30HRS, DAYS/EVENINGS)",Kaiser Permanente,2026-01-02,Remote,On-site,Part-time,Days,"Must Be Licensed In: Oregon, Washington, Compact",$52.52 - $80.11,"Description: Job Summary: Inpatient Care Managers are Registered Nurses who independently assure patients are admitted to the correct level of care for accurate billing and reimbursement, provide quality, cost effective clinical coordination/care management in acute care and emergency care settings, manage patients with routine and complex transition planning needs by independently assessing needs, developing, and implementing plans of care for transitions across care settings. Inpatient Care Manager also serve as expert consultants and educators for physicians and other health care team members for discharge and transitional care, coordination of internal and community resources, and support the evaluation and improvement of systems of care to support the optimal utilization of health care resources, while maintaining quality of patient care. The Inpatient Care Manager assumes primary accountability for anticipating, assessing, developing, implementing, documenting, advising, and communicating a safe transition plan of care for patients with complex care needs. Essential Responsibilities: Coordinates post-discharge patient care needs to assure the timely and effective discharge of routine and complex patients from the hospital setting. Independently and proactively completes and documents patient assessments which are thorough, timely, age appropriate, and reflect psychosocial support systems, care needs, health plan benefits, level of care determinations for hospitalized patients. Coordinates and communicates with patients, families, and the health care team to develop mutually agreeable plans of care that optimize the use of resources to support the particular needs of individual patients. Facilitates resolution of issues which present barriers to safe transfers through the use of patient/team care conferences to assure the efficient transition to a lower level of care and to assure the patient/family receives the right care at the right time so that quality",https://app.nursefern.com,Case Management (CM),NurseFern,2026-01-03T09:22:36.020807
TRAVEL RN CASE MANAGER,Fusion Medical Staffing,2026-01-02,Remote,On-site,Full-time,Days,Must Be Licensed In: California,"$2,973 - $3,163","Travel RN Case Manager Company: Fusion Medical Staffing Location: Facility in Palo Alto, California Job Details Fusion Medical Staffing is seeking a Case Manager RN for a 51-week travel assignment in Palo Alto, California. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: One year of recent experience as an RN Case Manager Valid RN license in compliance with state regulations Current BLS (AHA/ ARC) certification Preferred Qualifications: ACLS certifications (AHA/ARC) Other certifications and licenses may be required for this position Summary: The Case Manager RN coordinates and facilitates patient care across the healthcare continuum, ensuring optimal use of resources and improved patient outcomes. They assess patient needs, develop comprehensive care plans, and collaborate with multidisciplinary teams to provide efficient, cost-effective, and high-quality patient care. Essential Work Functions: Assess patients' medical, psychosocial, and functional needs Collaborate with interdisciplinary teams, including physicians, therapists, social workers, and case managers, to develop patient-centered care plans Develop and update individualized care plans, aligning with patient goals and clinical guidelines Coordinate transitions of care, ensuring seamless services and resources across the continuum of care Facilitate communication between patients, families, and interdisciplinary team members Monitor and evaluate patient outcomes, and adjust care plans as needed Ensure compliance with regulatory standards and insurance requirements Advocate for patients' preferences, addressing barriers to care and promoting equitable access to services Conduct utilization reviews and manage length of stay, ensuring adherence to evidence-based guidelines for care delivery Educate patients and families on h",https://app.nursefern.com,Case Management (CM),NurseFern,2026-01-03T09:22:38.113610
Utilization Review Nurse RN - PRN ONSITE,Lifebridge Health,2026-01-01,"Baltimore, MD",On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,$50.00-$50,"Baltimore, MDFacility SINAI HOSPITALDepartment UTILIZATION REVIEWSchedule - Shift - Hours PRN - Day shift - 8:00am-4:30pmJob Category RN OTHERReq # 92270$50.00-$50.00Posted: December 16, 2025SummaryWho We Are:LifeBridge Health is a dynamic, purpose-driven health system redefining care delivery across the mid-Atlantic and beyond, anchored by our mission to ""improve the health of people in the communities we serve."" Join us to advance health access, elevate patient experiences, and contribute to a system that values bold ideas and community-centered care.About the Role/Unit:The PRN Utilization Review RN at Sinai Hospital works with stakeholders in the Revenue Cycle Management process and payors to ensure efficiency of utilization of resources, minimize losses and maximize reimbursement.Key Responsibilities:Medical necessity review of patient stays and referral to the physician advisor as neededDenial Management, including coordination with Case ManagementMonitor utilization of hospital resourcesRequirements:Education:BSN preferred; ADN requiredLicensure:Registered Nurse License - Current Maryland license or Compact Multistate LicenseExperience:At least 2 years of experience in acute inpatient utilization review required and behavioral health UR experience strongly preferredMust Live in One of the Following Districts/States:District of Columbia, Maryland, Pennsylvania, Virginia, West VirginiaAdditional InformationWhat We Offer:Impact:Join a team that values innovation and outcomes, delivering life-saving care to our youngest and most vulnerable patients.Growth: Opportunities for professional development, including tuition reimbursement and developing foundational skills for neonatal critical care leadership and advanced certification.Support:A culture of collaboration with resources like unit-based practice councils and advanced clinical education support - improving both workflow efficiency and patient outcomes and allowing you to work at the top of your license.Benefits: Competitive compensation (additional compensation such as overtime, shift differentials, premium pay, and bonuses may apply depending on job), comprehensive health plans, free parking, and wellness programs.Why LifeBridge Health?With over 14,000 employees, 130 care locations, and two million annual patient encounters, we combine strategic growth, innovation, and deep community commitment to deliver exceptional care anchored by five leading centers in the Baltimore region: Sinai Hospital of Baltimore, Grace Medical Center, Northwest Hospital, Carroll Hospital, and Levindale Hebrew Geriatric Center and Hospital.Our organization thrives on a culture of CARE BRAVELY-where compassion, courage, and urgency drive every decision, empowering teams to shape the future of healthcare.LifeBridge Health complies with applicable Federal civil rights laws and does not discriminate on the basis of race, color, national origin, age, disability, sex or sexual orientation and gender identity/expression. LifeBridge Health does not exclude people or treat them differently because of race, color, national origin, age, disability, sex or sexual orientation and gender identity/expression.",https://click.appcast.io/t/WU7SdHfjpl9wDPqlPm71qhxxgGvVwd5ZhCkuuM34-FleT5A9EV_gyMCQFUpPJ-aB,"Entry Level, Psych | Behavioral Health | Mental Health, Registered Nurse | RN, Sponsored, Utilization Management | Utilization Review",Remote Nurse Connection,2026-01-03T09:22:00.959337
Registered Nurse Case Manager (RN) - Utilization Management ONSITE,Harttford Healthcare,2026-01-01,,On-site,Regular | Perm Employee,Regular | Perm Employee,ON-SITE,,"Location Detail:Windham Community Memorial (10183)Work whereevery momentmatters.Every day, more than 40,000 Hartford HealthCare colleagues come to work with one thing in common: Pride in what we do, knowing every moment matters here. We invite you to become part of Connecticut's most comprehensive healthcare network.For more than 75 years, Windham Hospital has treated patients with the latest high-tech equipment, operated by some of the most skilled and compassionate medical professionals available. We seek to meet the total healthcare needs of people from throughout Northeastern Connecticut. Our staff members are proud to live and work in this area and are committed to providing quality healthcare to our community.Position SummaryProvides guidance and/or direction in the management of overall discharge planning and appropriate use of hospital resources. Works under the direction of the Manager of Continuing Care and Utilization Management and in collaboration with physicians, social services, and other hospital personnel. Assesses the need for and facilitates the delivery of post hospital care for neonates, infants, pediatric, adolescent, adult and geriatric patient populations by making the necessary referrals to home care agencies or to SNF/Subacute facilities. Evaluates the appropriateness of hospital services. Ensures that patients receive the appropriate services at the appropriate time to promote quality outcomes at a reasonable cost. Maintains a program of admission and continued stay certification for Medicare, Medicaid and HMO review.QualificationsEXPERIENCEThree years clinical nursing required.Two years experience with case management, discharge planning, utilization review and/or home care required.Knowledge of the management of patients along the continuum of care required. Case management experience preferred.LICENSURE/CERTIFICATIONCurrent license as a registered nurse in the State of Connecticut.Certification in Case Management or Utilization Management is preferred.QUALIFICATIONSBachelor's degree required, preferably in nursing (equivalencies may be considered based upon experience and qualifications).Ability to utilize Microsoft Office strongly preferred. Experience with MIDAS software a plus.We take great care of careers.With locations around the state, Hartford HealthCare offers exciting opportunities for career development and growth. Here, you are part of an organization on the cutting edge - helping to bring new technologies, breakthrough treatments and community education to countless men, women and children. We know that a thriving organization starts with thriving employees- we provide a competitive benefits program designed to ensure work/life balance. Every moment matters. And this isyour moment.",https://click.appcast.io/t/hF51_E0FPcHvWur6KPDgPsjPjwobTCGQyY9aZ1Bz3ELjxv6Nse7_9GvYx3i-qZoV,"Case Management | Care Management, Entry Level, Registered Nurse | RN, Sponsored, Utilization Management | Utilization Review",Remote Nurse Connection,2026-01-03T09:22:01.070542
Nurse Case Manager I,Elevance Health,2025-12-27,"Miami, FL",Remote,Regular | Perm Employee,Regular | Perm Employee,"In Person Meetings, Remote, Training On-Site",,"Anticipated End Date:2026-01-26Position Title:Nurse Case Manager IJob Description:Nurse Case Manager ILocation:Miami, FLThis role enables associates to work virtually full-time, with the exception of required in-person training sessions, providing maximum flexibility and autonomy. This approach promotes productivity, supports work-life integration, and ensures essential face-to-face onboarding and skill development.Please note that per our policy on hybrid/virtual work, candidates not within a reasonable commuting distance from the posting location(s) will not be considered for employment, unless an accommodation is granted as required by law.Founded in 2005,HealthSunis a local Medicare Managed Care Organization with administrative offices located in Coconut Grove, Florida. Serving more than 50,000 members, HealthSun is one of the fastest growing health plans in South Florida. As a local plan, we recognize the healthcare needs of our community and strive to provide our members with only the best service and experience possible.TheNurse Case Manager Iis responsible for performing care management within the scope of licensure for members with complex and chronic care needs by assessing, developing, implementing, coordinating, monitoring, and evaluating care plans designed to optimize member health care across the care continuum. Performs duties telephonically or on-site such as at hospitals for discharge planning.How You Will Make an Impact:Primary duties may include, but are not limited to:Ensures member access to services appropriate to their health needsConducts assessments to identify individual needs and a specific care management plan to address objectives and goals as identified during assessment.Implements care plan by facilitatingauthorizations/referralsas appropriate within benefits structure or through extra-contractual arrangements.Coordinates internal and external resources to meet identified needs.Monitors and evaluates effectiveness of the care management plan and modifies as necessary.Interfaces with Medical Directors and Physician Advisors on the development of care management treatment plans.Assists in problem solving with providers, claims or service issues.Minimum Requirements:Requires BA/BS in a health related field and minimum of 3 years of clinical experience; or any combination of education and experience, which would provide an equivalent background.Current, unrestricted RN license in applicable state(s) required. Multi-state licensure is required if this individual is providing services in multiple states.Preferred Skills, Capabilities & Experiences:Certification as a Case Manager is preferred.Bilingual English/Spanish highly preferred.MS Office Suite good working knowledge preferred.For URAC accredited areas the following applies: Requires BA/BS and 3 years of clinical care experience; or any combination of education and experience, which would provide an equivalent background. Current and active RN license required in applicable state(s). Multi-state licensure is required if this individual is providing services in multiple states. Certification as a Case Manager and a BS in a health or human services related field preferred.Job Level:Non-Management ExemptWorkshift:1st Shift (United States of America)Job Family:MED > Licensed NursePlease be advised that Elevance Health only accepts resumes for compensation from agencies that have a signed agreement with Elevance Health. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.Who We AreElevance Health is a health company dedicated to improving lives and communities - and making healthcare simpler. We are a Fortune 25 company with a longstanding history in the healthcare industry, looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve.How We WorkAt Elevance Health, we are creating a culture that is designed to advance our strategy but will also lead to personal and professional growth for our associates. Our values and behaviors are the root of our culture. They are how we achieve our strategy, power our business outcomes and drive our shared success - for our consumers, our associates, our communities and our business.We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few.Elevance Health operates in a Hybrid Workforce Strategy. Unless specified as primarily virtual by the hiring manager, associates are required to work at an Elevance Health location at least once per week, and potentially several times per week. Specific requirements and expectations for time onsite...",https://elevancehealth.wd1.myworkdayjobs.com/ANT/job/FL-MIAMI-11430-NW-20TH-ST-STE-300/Nurse-Case-Manager-I_JR178030,"Case Management | Care Management, Entry Level, Registered Nurse | RN",Remote Nurse Connection,2026-01-03T09:22:01.442540
